"music_title","difficulty_name","music_id","difficulty_id","count","played","comp","ex_comp","uc","per","grade_C","grade_B","grade_A","grade_Ap","grade_AA","grade_AAp","grade_AAA","grade_AAAp","grade_S","grade_995","grade_998","avg_score","sd_score","avg_skill_u8","avg_skill_9","avg_skill_10","avg_skill_11","avg_skill_12_n","avg_skill_12_g","avg_skill_12_h","avg_vf_u7","avg_vf_8_i_ii","avg_vf_8_iii_iv","avg_vf_9_i","avg_vf_9_ii","avg_vf_9_iii","avg_vf_9_iv","avg_vf_10_i","avg_vf_10_ii"
"Evans VolteX Pf arrange","EXHAUST","22","3","1414","116","492","538","193","75","1399","1399","1393","1362","1274","1181","993","861","531","298","144","9658728","949696","9844000","9702384","9641417","9499134","9650691","9733656","9823098","9549975","9616964","9510580","9805669","9302522","9712453","9819323","9751661","9818255",\N,\N
"Evans VolteX Pf arrange","HEAVENLY","22","7","1426","30","165","1055","160","16","1406","1406","1406","1401","1371","1348","1217","1102","806","406","194","9715276","1165751","9809861","9962991","9660448","9678089","9650440","9897880","9904568","9317308","8839794","9095080","9626908","9682242","9868293","9924521","9930393","9978493",\N,\N
"ガッテンだ!! Novoiski Remix","NOVICE","23","1","95","0","20","0","3","72","95","95","94","94","89","88","88","88","77","72","72","9913930","251355","9975329","9266917","0","9917692","9962406","9736842","0","9902197","9924812","10000000","9827890","10000000","9853801","10000000","9994987","0",\N,\N
"ガッテンだ!! Novoiski Remix","ADVANCED","23","2","186","26","92","3","47","18","186","186","165","140","127","113","89","74","43","39","29","9433632","588808","9922900","8168316","9383545","9725411","9400083","8386542","8807461","9480281","9612379","9224275","9433405","9371711","8852137","9397858","9599145","10000000",\N,\N
"ガッテンだ!! Novoiski Remix","EXHAUST","23","3","433","11","114","105","98","105","433","433","421","398","373","372","349","349","282","204","145","9785261","364262","9989028","9863445","9817501","9822088","9736218","9436248","9771849","9777159","9804213","9446071","9751766","9752292","9910432","9972077","9813263","9985410",\N,\N
"It's over","NOVICE","24","1","192","10","18","0","29","135","182","182","182","182","182","182","176","167","164","150","148","9448742","2216094","9982061","9990215","9902152","9999077","8688093","9843444","9932956","9968083","9997776","9994663","9925310","10000000","9969756","10000000","8409063","10000000",\N,\N
"It's over","ADVANCED","24","2","247","7","153","39","31","17","247","247","245","239","208","140","117","100","81","44","37","9622273","319188","9921017","9443820","9678370","9579964","9602323","9570225","9601685","9721430","9513209","9409441","9587135","9588367","9527387","9602060","9735448","9910112",\N,\N
"It's over","EXHAUST","24","3","897","10","192","152","355","188","892","892","892","858","835","815","783","725","582","419","293","9801178","762766","9890737","9943883","9734315","9818144","9860430","9909134","9516573","9741949","9733224","9796325","9867880","9865116","9941374","9782833","9760783","9712406",\N,\N
"It's over","INFINITE","24","5","586","16","70","225","146","129","581","581","570","570","552","535","506","486","412","288","177","9775415","931855","9787508","9507672","9839058","9864626","9887183","9521931","9061914","9778423","9825519","9788086","9851528","9712383","9836901","9988387","9673148","9898072",\N,\N
"ALBIDA Powerless Mix","NOVICE","25","1","316","11","211","4","38","52","316","316","286","247","184","131","94","88","84","82","67","9382316","533766","9460527","9828791","9185197","9507090","9385655","8394261","9393306","9505129","9526533","9151868","9437809","9210960","9655743","9313417","9315172","0",\N,\N
"ALBIDA Powerless Mix","ADVANCED","25","2","568","84","381","28","45","30","568","566","468","377","233","170","139","124","101","88","63","9213065","559344","9732770","8367681","9016954","9401529","9136473","9306345","9450585","9301071","9123389","9109314","9350980","8942442","8966627","9207260","9317104","9464578",\N,\N
